timestamp,open,high,low,close,volume
1764406800000,90629.67000000,90665.37000000,90500.00000000,90560.08000000,255.33197000
1764410400000,90560.08000000,90647.98000000,90376.37000000,90552.47000000,287.88192000
1764414000000,90552.47000000,90682.33000000,90458.17000000,90673.19000000,204.80457000
1764417600000,90673.20000000,90810.45000000,90530.93000000,90616.01000000,253.50149000
1764421200000,90616.01000000,90696.00000000,90600.00000000,90622.04000000,44.20410000
1764406800000,90629.67000000,90665.37000000,90500.00000000,90560.08000000,255.33197000
1764410400000,90560.08000000,90647.98000000,90376.37000000,90552.47000000,287.88192000
1764414000000,90552.47000000,90682.33000000,90458.17000000,90673.19000000,204.80457000
1764417600000,90673.20000000,90810.45000000,90530.93000000,90616.01000000,253.50149000
1764421200000,90616.01000000,90696.00000000,90600.00000000,90636.02000000,46.33250000
1764406800000,90629.67000000,90665.37000000,90500.00000000,90560.08000000,255.33197000
1764410400000,90560.08000000,90647.98000000,90376.37000000,90552.47000000,287.88192000
1764414000000,90552.47000000,90682.33000000,90458.17000000,90673.19000000,204.80457000
1764417600000,90673.20000000,90810.45000000,90530.93000000,90616.01000000,253.50149000
1764421200000,90616.01000000,90696.00000000,90600.00000000,90636.03000000,46.39554000
